序号,作者,标题,点赞数,收藏数,评论数,封面 URL,笔记链接,正文内容,状态
11,AI萌宠打工日记,claude编程好用，五种常见使用方式总,7,10,0,https://sns-webpic-qc.xhscdn.com/202604052133/78ce789e9ffc2fc2206739c8b1395b95/spectrum/1040g34o31udfal9pj4a05q2vj2g6sbqcifg2n2g!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/69cc94bc000000001d01e4cc,不少写代码的小伙伴都在用claude系列模型，整理了五种常见的使用方式，大家可以结合自己的需求选择~ 🌐 网页版 只有对话交互界面，生成的代码需要自行复制到IDE运行，不用额外配置url和api key，没有agent能力，国内使用可选择国内中转商的网页版套餐，上下文仅局限于上传的文字或文件。 ▫️▫️▫️▫️ ⌨️ 终端程序Claude Code 是终端命令行界面，没有图形用户界面，不支持拖拽文件到聊天窗口，需要用命令下载安装，使用前要配置url和api key，支持编辑代码文件、运行命令，可直接读写整个项目所有文件，不用逐个上传，计费按token量或者次数收取，需要搭配国内中转商的相关服务使用。 ▫️▫️▫️▫️ 🔌 IDE中的Claude Code插件 比如可以在vscode的插件扩展商店安装对应插件，使用前配置url和api key，在vscode内部就有UI交互界面，文件右上角或者左侧栏有入口，拖拽文件仅支持单次拖单个到聊天窗口，支持编辑文件、运行命令，可读取整个项目所有文件，计费按token量或者次数收取。 ▫️▫️▫️▫️ ✍️ 在cursor使用claude 需要先下载cursor软件，挂魔法后在侧边聊天框选择claude系列模型即可使用，侧边UI聊天界面，支持编辑文件、运行命令，可识别整个项目内容，计费需要登录cursor账号购买对应会员。 ▫️▫️▫️▫️ 🖥️ claude code desktop桌面端应用 UI界面使用感不错，功能也更丰富，但是账号审查机制比较严格，国内无法直接下载，需要国外邮箱注册、国外电话号码验证，还有账号被封的可能。 #Claude使用#编程工具#AI编程#Claude使用技巧#程序员日常工具#AI工具分享#代码开发辅助#Claude入门指南#编程实用工具#AI模型应用,成功
12,免,Claude 注册,56,35,87,https://sns-webpic-qc.xhscdn.com/202604052133/1c3eb479d8c74107a5277240bea88df5/1040g2sg31ub3g6n12ieg5ov4iiopi72qanc7d5o!nd_dft_wgth_webp_3,https://www.xiaohongshu.com/explore/69ca27b200000000210105c0,好烦一直需要验证 #claude #claude注册,成功
13,奥森木,Claude Code 也可以操控你的电脑了,13,12,2,https://sns-webpic-qc.xhscdn.com/202604052133/d3f24353e592e6a6ab94d11242b81756/1040g00831ubvrbbriq6g5pjdpov3cmhng8l4100!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/69cb10630000000021038b69,Claude Code 新增了 Computer Use 功能，可以从命令行直接操控你的 macOS 电脑。编译 App、点击按钮、截屏验证，全程不用离开终端。 它能做什么？四个核心场景： 编译并验证原生 App。让 Claude 写 Swift 代码、编译、启动，然后自动点击每一个控件验证是否正常。在你打开 App 之前，它已经帮你测完了。 端到端 UI 测试。告诉 Claude 测试注册流程，它会自动打开 App、点击注册、填写表单、截屏每一步。不需要配置 Playwright，不需要写测试脚本。 调试布局问题。告诉 Claude 某个弹窗在小窗口下被裁切，它自动缩小窗口复现 Bug、截屏、改 CSS、再验证修复。Claude 能看到你看到的画面。 操控纯 GUI 工具。设计软件、硬件控制面板、iOS 模拟器，这些没有命令行也没有 API 的工具，Claude 也能直接操控。 Claude 会自动判断用什么工具。有 MCP 服务器就用 MCP，能用命令行就用 Shell，浏览器操作用 Chrome 插件。只有这些都搞不定时，才启动 Computer Use。它是最强大的，但也是最后手段。 开启只需要三步：在 Claude Code 里输入 /mcp 启用 computer-use 服务器，授权 macOS 的辅助功能和屏幕录制权限，然后每次操控新 App 时确认审批就行。 安全方面设计了五道防线。逐 App 审批，终端和 IDE 这类高权限 App 会额外警告。终端窗口永远不截屏，防止提示注入。按 Esc 随时终止所有操作。同一时间只有一个会话能操控电脑。 使用条件：macOS 系统，Claude Code v2.1.85 以上，Pro 或 Max 订阅。暂不支持 Linux、Windows 和 Team/Enterprise 计划。 来源：Claude Code 官方文档 #ClaudeCode #ComputerUse #AI编程 #macOS #开发工具,成功
14,Yoki的AI实验室,用Claude，我在模仿美国人大赛里得了第一名,404,153,62,https://sns-webpic-qc.xhscdn.com/202604052133/acb35da86abfa286c3de9c230ad6a7f3/notes_pre_post/1040g3k031ud7nuhs2i1040pf1hqfsinhhstt0qo!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/69cc5ab9000000002301dec9,Claude可以算是综合能力最强的AI工具，但最大的问题是在中国不让用。 我去年回国的时候也是那套——美国家庭静态IP，调时区，装作自己在美国。 最近看大家升级越来越厉害，有人已经在系统提示词里天天告诉Claude：我是一个在东八区出差的美国人。 对的，为了使用Claude，我在模仿美国人大赛里得了第一名。 然后昨天Claude Code源码泄露，有人翻出了一份封号机制深度报告。 原来它早就知道了。 报告显示，Claude Code构建了三层追踪体系：你的设备有一个永久Device ID，首次运行就生成，除非手动删除；每次启动会采集40+维度的系统信息，操作系统、时区、Docker、CI环境全都上报；使用过程中640+种行为事件实时上报，每5秒一批，上报失败还会重试8次。 封号风险最高的两件事：多设备共享一个账号，以及短时间高频调用。 所以你换了IP、调了时区、天天告诉它你是出差的美国人——但你的Device ID没变，你的操作系统没变，你的行为模式没变。 它不需要知道你是哪里人，它只需要知道这个设备的行为不正常。 所以真正有用的只有两件事：一个账号一台设备，调用频率别太离谱。 其他的，都是表演给自己看。 报告我也放附件了，可下载。 #Claude #AI工具 #效率工具 #AI Agent开发与实践 #程序员 #北美留学生 #加拿大生活 #Vancouver #科技 #留学生,成功
15,芝知,Claude 开源了，51万行代码免费送！,26,15,0,https://sns-webpic-qc.xhscdn.com/202604052134/66b6ed8e2ed2e9eee657f12761d0b2c2/notes_pre_post/1040g3k031ucjths42i605ok4eru5b5d18hpsmh0!nd_dft_wgth_webp_3,https://www.xiaohongshu.com/explore/69cbb6b2000000001a0224b4,"太搞笑了！刚刚安全研究员 Chaofan Shou 发现 Claude Code 的完整源码，就这么躺在 npm 官方包里。 原因很简单，Anthropic 打包时没有排除 sourcemap 文件。任何人 `npm install` 之后，直接解包 `cli.js.map`，就能拿到 1906 个原始 TypeScript 文件，51 万行代码，40 多个内置工具，全部。这是第二次了，2025年2月出过一次，紧急下架修复，结果这次又原地翻车。 GitHub 上已经出现几十个镜像仓库，开发者整理得干干净净，现在正在被逐行研究。 更讽刺的是，源码里有一套专门叫""Undercover Mode""的子系统，目的是防止 AI 在开源仓库的 commit 里暴露内部信息，比如内部代号、未发布模型版本号、Slack 频道名……系统提示词里写着""不要暴露身份""。然后 Anthropic 把整个源代码打包进了 npm。 顺手还挖出几个细节：内部项目代号全是动物名（Capybara、Tengu、Fennec），Claude Code 的项目代号大概率是 Tengu。代码里还有一个叫""Buddy""的虚拟宠物系统，带稀有度抽卡机制，AI 孵化时会为它写一段灵魂描述。 国内友商发力啊，把价格打下来就看这一波了！",成功
16,Vincent,已严肃还原 Claude Code 😤,445,419,115,https://sns-webpic-qc.xhscdn.com/202604052134/dd0ff2034f9a96fddcf043b8e941f61d/notes_pre_post/1040g3k831uckufa6hs705p05p9il1oukfnrjdjo!nd_dft_wgth_webp_3,https://www.xiaohongshu.com/explore/69cbbc9f0000000023011859,这下有的玩了 #Claude #claudecode,成功
17,杉森楠 AI Humanist,被泄露的ClaudeCode完全部署成功了！！！,2272,2360,350,https://sns-webpic-qc.xhscdn.com/202604052134/e9ead4ec3c515ce62a0f905a442716e2/spectrum/1040g0k031ucqeff4is1g4a17s0r458ggqnaf1eo!nd_dft_wgth_webp_3,https://www.xiaohongshu.com/explore/69cbe9ec000000002202816f,"全程使用 Codex 一步一步部署完成，API 接的国产模型。这里有些坑，大家需要注意。这份 src 虽然是 Claude Code 源码，但它不是“通用聊天壳子”，而是“默认深度绑定 Anthropic/claude.ai 的官方客户端”。 具体卡点主要有这几类： 它默认假设自己连的是 Anthropic 官方体系，不是任意第三方。 它内置的 provider 只有 firstParty / bedrock / vertex / foundry，没有“custom provider”。 默认模型名是 claude-sonnet / claude-opus / claude-haiku，不能直接拿去请求 MiniMax。 启动时还有官方的版本检查、动态配置、登录体系。 它的 -p/--print 无头模式，对第三方返回头部的兼容并不完整，所以接 MiniMax 后又暴露出几处小 bug。 经过漫长的修复后，终于在本地能用了。 有意思的是，我发现它里面藏着很多未发布的功能模块，我找了几个。 第一：Buddy 模块是一个""电子宠物/虚拟伙伴""系统， 类似 Tamagotchi（电子鸡）或 Pokemon 的玩法。用户可以孵化、养成自己的虚拟小伙伴 第二：里面有个 KAIROS模块， 主要是 Agent SDK 守护进程模式， 是后台持续运行的 AI 助手 ，通过 `feature('KAIROS')` 开关控制 ，需要通过 GrowthBook 实验配置 (`tengu_kairos gate`) 来启用。简单说：KAIROS = 24小时主动工作的 AI 助手模式，能自动探索、做检查、汇报进度。 #小红书科技AMA #AI工具 #大模型 #开发者选项 #AI人工智能 #个人开发者 #ClaudeCode",成功
18,摸鱼工程师,Claude Code 还能这么好看？同事看了都想装,705,1296,32,https://sns-webpic-qc.xhscdn.com/202604052134/f213a54f3b0af23d261cf4c41979af8a/spectrum/1040g34o31ug0l4ma34605n2isuqkirvv6mojec0!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/69cf3020000000001f007426,用 Claude Code 写代码，终端底部那行状态栏是不是看着很寡淡？ 今天推荐一个开源工具：ccstatusline 一行命令装完，终端直接变好看。 📌 装完长什么样？ 底部状态栏变成 Powerline 风格——箭头分隔、彩色背景、信息密度拉满。 模型名、Git 分支、Token 用量、Session 费用、上下文占比……一眼全看到。 30+ 个信息组件随便挑： - 模型名 —— 当前用的哪个模型 - Git 分支 —— 不用切终端看 - Token 速度 —— 输入/输出每秒多少 token - Session 费用 —— 这轮对话花了多少钱 - 上下文占比 —— 还剩多少上下文空间 - Block 计时器 —— 5 小时 block 用了多久 - 自定义命令 —— 塞天气、时间、任何命令输出 内置多套主题，支持 256 色和 TrueColor，多行状态栏也支持。 📌 怎么装？一行命令 npx -y ccstatusline@latest 运行后弹出交互式配置界面，键盘直接操作： - 选要显示的 widget - 调颜色和主题 - 实时预览效果 - 按一下就写入 Claude Code 设置 不用手动改任何配置文件。 没有 npx？装个 Node.js 就自带了： - macOS: brew install node - Windows: 官网 nodejs.org 下载安装 - 也可以用更快的 bun：bunx ccstatusline@latest 📌 配置操作 启动后进入 TUI 配置界面，常用操作： - a 添加 widget / d 删除 widget - Enter 进入移动模式，方向键排序 - r 切换简洁模式 / m 合并相邻 widget - Ctrl+S 保存，自动写入 Claude Code 设置 体验就两个字：舒服。 GitHub: sirmalloc/ccstatusline 你的 Claude Code 终端长什么样？截图来看看 #Claude #终端美化 #开发工具 #效率工具 #程序员 #摸鱼工程师 #AI编程 #ccstatusline,成功
19,年糕爸爸码代码,在Windows上用Claude Code写代码，太爽了,347,668,62,https://sns-webpic-qc.xhscdn.com/202604052134/5342d678b0bd90f63883e0a40bb5862d/1040g00831ucgo1et1m3g5nb71or08b3ref1s8h8!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/69cb99aa000000002100505d,Windows配置Claude Code喂饭🍛级教学 [坏笑R]本文适用于： 1️⃣国内非码农普通用户 2️⃣Windows操作系统 3️⃣就想用Claude code 📌由于我们反其道而行，故无法达到Claude code 原生体验，但是对于普通轻度使用者来说已经足够。 ----------------------- 左滑封面图片👈看完整指南 遇到什么问题❓️欢迎评论区讨论 关注我下期做Windows系统，使用WSL2 部署 Claude Code。原生功能100%还原 #vibecoding #Windows #ai工具 #教程分享,成功
20,我叫韩子络,新手必看 Claude Code 常用的命令！！！,27,43,0,https://sns-webpic-qc.xhscdn.com/202604052134/c3117e9f463e12886554af9f2059e662/spectrum/1040g0k031uhnqdhehu205peijmj13url0p63qe8!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/69d0f316000000001a034057,刚上手 Claude Code 的兄弟看过来！ 整理了这份超全的命令速查手册 👇 💬 斜杠命令 · ⌨️ 快捷键#黑客松巅峰赛 🖥️ 终端启动 · 🔧 对话技巧 📦 Git 工作流 · ⚙️ 配置管理 从入门到实战，40+ 条命令全部整理好了 每个命令都有详细说明+使用场景📝 特别是这几个超好用： ✅ ! 命令 —— 在对话里直接跑代码 ✅ @文件 —— 一键引用文件让 Claude 分析 ✅ /allow tools all —— 告别每次点确认 建议存下来，需要的时候随时拿出来翻 🌿 -- #AI编程 #效率工具 #开发者工具 AIGC #程序员日常 #前端开发 #自动化办公 #Claude #黑客松巅峰赛,成功
21,小林的碎片记录,这波claude code源码泄露，竟然还有惊喜,5061,1718,397,https://sns-webpic-qc.xhscdn.com/202604052134/b86b68ddb9ba46c5e5e19acb449be893/notes_uhdr/1040g3qo31ucuo11l2q0040o66er9ucs7n3bqfh0!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/69cc0c5b0000000023014f74,#Claudecode #ClaudeCode源码泄露 #buddy,成功
22,Trimr中文,Claude Code保姆级安装教程，10分钟上手！,13,13,2,https://sns-webpic-qc.xhscdn.com/202604052134/8f60aec1f56769fec31bc9fde3df03ff/spectrum/1040g34o31ucl0r582s8g5oc799s40i7qmm9cbe0!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/69cbbd0a000000002202ac40,"很多人听说Claude Code很强，但一听""命令行""就劝退了。 别怕，今天手把手教你，10分钟搞定。 【Claude Code是什么？】 简单说：一个住在你电脑里的AI助手。 不是网页版聊天，而是可以直接帮你操作文件、写代码、执行任务的本地AI。 【安装（3分钟）】 打开终端（Mac用Terminal，Windows用PowerShell） 输入：npm install -g @anthropic-ai/claude-code 输入：claude 启动 首次使用会让你登录Anthropic账号，按提示操作即可 没有Node.js的话先装一下：nodejs.org 下载安装包，一路下一步。 【基础用法（5分钟）】 启动后直接用中文对话就行： ""帮我看看这个文件夹里有什么"" ""把所有.txt文件内容合并成一个"" ""写一个Python脚本，批量重命名图片"" ""总结一下这个项目的代码结构"" 它会自己读文件、写代码、执行命令。你只需要说""是""来确认。 【进阶玩法（2分钟了解）】 指向Obsidian笔记库 → 变成你的私人知识助手 搭配项目文件夹 → 变成你的编程搭档 用 /init 生成项目记忆文件 → 每次打开都记得上下文 【常见问题】 Q：要钱吗？ A：Claude Code本身免费，使用Claude API需要付费（也可以用Anthropic的免费额度） Q：安全吗？ A：所有操作都在你本地，执行任何命令前都会问你确认 Q：不会编程能用吗？ A：完全可以。它最强的地方就是你用自然语言说需求，它来写代码执行 试了的人评论区分享你的体验！ #AI工具 #人工智能 #编程 #效率神器",成功
23,灵感无限AI,Gemma 4 发布，Claude 好日子到头了,976,622,181,https://sns-webpic-qc.xhscdn.com/202604052134/9c802de5cb79ba07bdd33468cee4be82/spectrum/1040g34o31ug17rekisbg5pta0cejjjhgsig09n8!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/69cf3344000000002301e645,Google开源本地部署模型Gemma 4，打破云端API模式，重塑AI产业竞争格局。 #我在小红书写长文 #大模型 #小红书科技AMA,成功
24,一见倾心,Claude Code源码直接裸奔了！！,3,1,0,https://sns-webpic-qc.xhscdn.com/202604052134/f35aeb8d94c94e125738254161cdbd31/1040g2sg31ucm3tgliagg5nieeahg8mkkv76s500!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/69cbc5fd000000002103ae5f,#开发 #ClaudeCode #Anthropic #AI编程 #程序员日常 #科技圈大瓜 #开源 #代码泄露 #人工智能,成功
25,HHH（开发学习版）,Claude的五种使用方式,356,486,34,https://sns-webpic-qc.xhscdn.com/202604052134/50e7d9d85b61a8fe1ecfe843760a36c3/spectrum/1040g34o31ua730r7is6g5pqamtdndk7ogla0gs0!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/69c93fbf000000001d01cac3,claude系列模型编程能力地表最强，这里总结了claude的五种常见使用方式 一、网页版 1.界面交互：网页交互，只有对话界面，接收输入产生输出，产生的代码还要copy到IDE运行，不方便 2.连接方式：网页端自动实现连接claude，无需配置url和api key 3.agent能力：无 4.计费方式：Claude官方不支持中国地区使用，需选择国内中转商的网页版套餐 5.上下文范围：局限于你上传的文字或文件 二、终端程序Claude Code 1.界面交互：终端命令行界面，只能通过命令行与claude的模型进行交互，没有图形用户界面，缺少方便性，比如不能拖动文件放到聊天窗口 2.安装方式：使用命令下载claude code程序 3.连接方式：通过配置 url 和api key 4.agent能力：能编辑你的代码文件、运行命令等，而非只是聊天 5.计费方式：按token量或按次数计费，同样需选择国内中转商的 url 和 api key 6.上下文范围：能读写整个项目所有文件，无须像网页版一样逐个上传文件 三、IDE中的Claude Code插件 比如在vscode中安装Claude Code for VS Code插件 1.连接方式：url和api key 2.界面交互：vscode内部，UI界面交互。文件内右上角会有橙色的claude符号（或左侧栏claude插件符号），点击可打开claude聊天界面。指定上下文时，拖动文件的方式只支持拖动单个到聊天窗口 3.上下文范围：整个项目所有文件 4.agent能力：能编辑文件、运行命令等 5.安装方式：在插件扩展商店安装Claude Code for VS Code插件 6.计费方式：按token量或按次数计费 四、在cursor使用claude 1.界面交互：cursor内部，侧边UI聊天界面。 2.agent能力：能编辑文件、运行命令等 3.上下文范围：整个项目 4.计费方式：登录cursor账号，购买cursor会员 5.安装方式：下载cursor 6.连接方式：挂魔法，在cursor侧边聊天框选择claude系列模型 五、claude code desktop（桌面端应用） 能体验更好用的UI界面和更丰富的功能 但有最严格的账号审查机制：官网限制国内下载+需国外邮箱注册+国外电话号码验证+可能封号,成功
26,小王凯瑞全场！,Claude code代码泄露到底能干啥？,0,2,1,https://sns-webpic-qc.xhscdn.com/202604052134/8d3631cbe875b171cc2f74227d9bd104/notes_pre_post/1040g3k031uj27q3qjg20485cgdc5gp76l4uphl8!nd_dft_wgth_webp_3,https://www.xiaohongshu.com/explore/69d257830000000023020b9c,"前几天我在小红书问了一个问题：Claude那51万行代码泄露到底能干啥？说实话，那时我也不太懂。我看到这个新闻，感到了一种""这很严重吗？""的困惑。虽然我立马爬起来去github下载好了啊哈哈。 没想到7.4万人看了，2000多人赞了。但看评论，我发现大家其实都有点懵。有人说""底裤被扒了""，有人说""其实没那么可怕""，还有人说""全世界大模型都免费了""（这是愚人节玩笑哈哈）。 这两天我读完了381条评论，这是我的一些总结。这是评论里一个叫""谷智蔬松""的用户讲的（246赞），我觉得讲得最清楚： “Claude是一个商标。在这个商标下，有两类不同的产品：大模型和编程agent。大模型包括Claude Opus、Claude Sonnet、Claude Haiku。编程agent是Claude Code，是一个命令行应用。作用是接入大模型来帮你写代码” 我的理解是，Claude不是一个东西，而是一个商标。 就像苹果（Apple）不只是iPhone，还有MacBook、iPad、Apple Watch一样。 在Claude这个商标下：大模型（Opus/Sonnet/Haiku）= AI本身，能聊天、能思考、能分析 Claude Code = 一个工具，用来把大模型连接到你的电脑上，让它能真的帮你干活就像有人把iPhone的拼装设计图泄露了，但iPhone的芯片设计没有泄露。你有了拼装设计图，也做不出来iPhone。 我在评论里看到很多开发者在讨论这个。可以学习AI Agent的设计方式 评论里有人说Claude Code被认为是业界最好的编程agent之一，有技术的人可以研究Anthropic怎样设计的有人评论说""可以做到完全离线使用，并二次开发"" 但这需要很强的技术能力。 对普通人讲，没有太大作用。（林中落子，8赞）： 对个人消费者而言没什么用。相当于把一个电器的图纸给你了，但是还是得插电，花电费才能用。 我现在的理解是，有了Claude Code的代码 = 有了电器的图纸，但你还是需要电力来运行它，而那个""电力""就是Claude大模型的API，或者任何国内其它的大模型。 #AI工具",成功
27,渔夫财经,claude code源代码泄漏？,84,17,24,https://sns-webpic-qc.xhscdn.com/202604052135/fc1a827b178275ac1143c93e9f4261ca/1040g00831ucj6smuis1g5olhkb56st14fqjjesg!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/69cbadfe00000000230100b0,果然这个世界是个大草台班子#小红书科技AMA #ai #openai #claude,成功
28,AI裂变教练恩典,Claude的403问题花了两小时终于解决,3,1,3,https://sns-webpic-qc.xhscdn.com/202604052135/80eec46534a2c0c55a980f27a4281147/notes_uhdr/1040g3qg31uhe3a3d2o0g5pjejt20ubnif5cnm5g!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/69d0a3180000000022001ed1,用MacM5跑Claude cowork 试了很多次都是403问题，还以为白买了 后面是代理的全局模式打开的同时，得开始 Tun模式，虚拟卡模式也得打开 现在Claude才是真正的灵魂所在 #macbook #claude #Ai #opc,成功
